8010,1,10034,0.101508,3.26818e-06,38818,5862,6122,6345,6458,6478,6638,0,0,0,0,0,0,0,4.76343e+06,371336,600894,654249,778772,716297,902299,0,0,0,0,0,0,0,2722,126,281,336,395,413,446,0,0,0,0,0,0,0,3.2076e+07,1.63562e+06,3.42045e+06,4.02567e+06,4.7422e+06,4.86034e+06,5.37746e+06,0,0,0,0,0,0,0
8010,2,9998,0.0966856,2.21976e-06,108,6,14,12,17,14,10,38575,5478,6157,6039,6189,6298,6333,1.05797e+06,59599,137948,119676,169757,139299,99707,5.25518e+06,348196,565802,732467,738590,835866,928608,1858,92,206,233,282,289,332,685,32,76,93,109,103,111,1.96342e+07,979415,2.19754e+06,2.44921e+06,2.98919e+06,3.02872e+06,3.41904e+06,1.21038e+07,668132,1.32565e+06,1.66228e+06,1.82837e+06,1.86566e+06,2.03839e+06
8011,1,10000,0.101475,3.2756e-06,39061,5865,6114,6374,6478,6567,6711,0,0,0,0,0,0,0,4.73225e+06,360324,589712,652221,796061,713751,900206,0,0,0,0,0,0,0,2724,127,282,336,393,413,446,0,0,0,0,0,0,0,3.19722e+07,1.63032e+06,3.40971e+06,4.01222e+06,4.72606e+06,4.84375e+06,5.36021e+06,0,0,0,0,0,0,0
8011,2,9849,0.0966409,2.22985e-06,106,6,13,12,18,12,10,38407,5480,6092,5987,6091,6300,6263,1.02253e+06,58690,126127,117903,177060,117488,98200,5.22891e+06,333403,557604,732784,739150,815321,926772,1860,92,207,233,281,291,332,680,33,76,92,108,104,110,1.93417e+07,964798,2.16487e+06,2.41272e+06,2.94463e+06,2.98355e+06,3.36807e+06,1.19262e+07,658420,1.30613e+06,1.63889e+06,1.80284e+06,1.83962e+06,2.01016e+06
8012,1,9978,0.101444,3.18552e-06,38988,5868,6116,6373,6411,6529,6732,0,0,0,0,0,0,0,4.75487e+06,369857,588519,651659,794136,692947,879469,0,0,0,0,0,0,0,2721,126,282,336,393,415,448,0,0,0,0,0,0,0,3.1905e+07,1.62708e+06,3.40232e+06,4.00427e+06,4.71549e+06,4.83382e+06,5.34961e+06,0,0,0,0,0,0,0
8012,2,10039,0.0966057,2.21163e-06,110,6,11,13,17,12,10,38564,5502,6077,6030,6183,6411,6336,1.0824e+06,59789,108516,130204,170397,119738,100082,5.29249e+06,340188,568556,747614,744209,843107,915536,1856,92,209,232,282,291,332,684,33,76,92,109,103,113,1.97148e+07,983377,2.20667e+06,2.45925e+06,3.0014e+06,3.04109e+06,3.43303e+06,1.21592e+07,671475,1.33152e+06,1.6712e+06,1.83846e+06,1.87712e+06,2.04994e+06
8013,1,9981,0.101415,3.15136e-06,38759,5851,6100,6339,6447,6506,6687,0,0,0,0,0,0,0,4.71067e+06,360426,568835,662038,804446,684042,860004,0,0,0,0,0,0,0,2726,127,284,335,392,416,450,0,0,0,0,0,0,0,3.19189e+07,1.62801e+06,3.40344e+06,4.00567e+06,4.717e+06,4.83614e+06,5.35145e+06,0,0,0,0,0,0,0
8013,2,9992,0.0965665,2.22164e-06,106,6,11,12,14,12,7,38715,5562,6111,6084,6212,6403,6316,1.03733e+06,59503,107991,119611,139635,119155,69690,5.26218e+06,338985,586574,744502,750909,829824,902770,1860,92,209,233,285,291,335,685,33,74,92,108,104,114,1.96225e+07,978767,2.19632e+06,2.44775e+06,2.98736e+06,3.02683e+06,3.41701e+06,1.21067e+07,668721,1.32598e+06,1.66377e+06,1.83004e+06,1.86899e+06,2.04186e+06
8014,1,9989,0.101379,3.16854e-06,39044,5868,6112,6336,6442,6553,6672,0,0,0,0,0,0,0,4.74945e+06,361065,569620,653305,815370,715701,841159,0,0,0,0,0,0,0,2723,127,284,336,391,413,452,0,0,0,0,0,0,0,3.19495e+07,1.62967e+06,3.4065e+06,4.00961e+06,4.72107e+06,4.84116e+06,5.35619e+06,0,0,0,0,0,0,0
8014,2,10094,0.0965463,2.14034e-06,104,6,13,12,15,13,11,38807,5587,6157,6093,6211,6437,6380,1.02753e+06,60124,129231,120799,151157,130461,110810,5.35164e+06,342214,593406,752713,749788,859396,913488,1862,92,207,233,284,290,331,682,33,74,92,109,102,114,1.98226e+07,988772,2.21869e+06,2.4727e+06,3.01785e+06,3.05772e+06,3.45192e+06,1.22357e+07,675316,1.34036e+06,1.68136e+06,1.85003e+06,1.88898e+06,2.0642e+06
8015,1,9991,0.101355,3.1841e-06,39096,5915,6233,6311,6475,6473,6655,0,0,0,0,0,0,0,4.81514e+06,371532,559649,663445,806249,736471,812285,0,0,0,0,0,0,0,2717,126,285,335,392,411,455,0,0,0,0,0,0,0,3.19607e+07,1.6304e+06,3.40708e+06,4.01043e+06,4.72272e+06,4.84277e+06,5.35819e+06,0,0,0,0,0,0,0
8015,2,10006,0.0965086,2.11152e-06,100,7,12,12,18,14,10,38689,5543,6170,6107,6185,6353,6369,978588,69619,118096,119778,179859,139332,99836,5.31886e+06,340341,587526,757142,740763,841181,905998,1866,91,208,233,281,289,332,681,33,74,91,109,103,114,1.96498e+07,980165,2.19934e+06,2.45118e+06,2.99154e+06,3.03107e+06,3.42183e+06,1.21329e+07,670539,1.32797e+06,1.66769e+06,1.83142e+06,1.8718e+06,2.04668e+06
8016,1,10077,0.101349,3.25679e-06,39271,5910,6207,6354,6475,6536,6709,0,0,0,0,0,0,0,4.89989e+06,384798,564582,649287,793006,733320,869949,0,0,0,0,0,0,0,2713,125,285,337,394,412,450,0,0,0,0,0,0,0,3.22388e+07,1.64442e+06,3.43653e+06,4.04524e+06,4.76334e+06,4.88504e+06,5.4046e+06,0,0,0,0,0,0,0
8016,2,10016,0.0964738,2.11581e-06,104,7,12,12,16,16,9,38927,5539,6162,6162,6212,6447,6385,1.01965e+06,69642,118173,119887,160005,159445,89909,5.36841e+06,341013,578911,758869,740574,852815,907000,1862,91,208,233,283,287,333,677,33,75,91,109,102,114,1.96694e+07,981098,2.2015e+06,2.45362e+06,2.99453e+06,3.03404e+06,3.42524e+06,1.21492e+07,671541,1.33011e+06,1.67032e+06,1.83232e+06,1.87445e+06,2.04882e+06
8017,1,9915,0.101349,3.12081e-06,39089,5879,6147,6406,6419,6457,6591,0,0,0,0,0,0,0,4.91737e+06,378311,545618,629983,780411,712653,886623,0,0,0,0,0,0,0,2704,125,286,338,394,413,447,0,0,0,0,0,0,0,3.17275e+07,1.61769e+06,3.38131e+06,3.98125e+06,4.68692e+06,4.80755e+06,5.31863e+06,0,0,0,0,0,0,0
8017,2,9909,0.0964358,2.09111e-06,95,6,13,11,16,16,7,38752,5538,6124,6108,6193,6420,6364,919343,58965,126836,108699,158309,157800,69139,5.27681e+06,338448,572073,740186,733599,843877,887618,1871,92,207,234,283,287,335,681,33,75,92,109,102,115,1.94591e+07,970593,2.178e+06,2.4274e+06,2.96256e+06,3.00168e+06,3.38865e+06,1.20248e+07,665445,1.31525e+06,1.65181e+06,1.81368e+06,1.8546e+06,2.02715e+06
8018,1,9931,0.101338,3.15615e-06,38939,5864,6135,6360,6422,6475,6626,0,0,0,0,0,0,0,4.97969e+06,378841,566648,631855,781425,724092,859528,0,0,0,0,0,0,0,2699,125,284,338,394,412,450,0,0,0,0,0,0,0,3.17835e+07,1.62022e+06,3.38705e+06,3.98853e+06,4.69424e+06,4.81566e+06,5.32848e+06,0,0,0,0,0,0,0
8018,2,10204,0.0964002,2.13698e-06,100,6,10,10,17,16,7,39243,5644,6208,6244,6299,6461,6399,997697,60707,99974,101708,173232,162529,71196,5.43905e+06,349131,599385,762336,756465,879796,913898,1866,92,210,235,282,287,335,681,33,74,92,109,101,115,2.00384e+07,999475,2.24281e+06,2.49965e+06,3.05076e+06,3.09108e+06,3.48954e+06,1.2388e+07,685863,1.35448e+06,1.7011e+06,1.8687e+06,1.9104e+06,2.08736e+06
8019,1,9803,0.101328,3.12792e-06,38386,5679,6023,6260,6361,6307,6536,0,0,0,0,0,0,0,4.89046e+06,383905,520009,643528,751944,705427,828824,0,0,0,0,0,0,0,2702,124,288,336,396,413,452,0,0,0,0,0,0,0,3.13782e+07,1.59948e+06,3.34327e+06,3.93734e+06,4.63393e+06,4.75407e+06,5.25978e+06,0,0,0,0,0,0,0
8019,2,10124,0.0963613,2.17716e-06,100,8,9,12,18,15,8,39330,5623,6177,6277,6314,6506,6442,989735,80453,89072,121179,182020,151112,80770,5.43105e+06,357046,584818,757008,760959,853333,897637,1866,90,211,233,281,288,334,678,32,75,92,108,103,116,1.98811e+07,991613,2.22524e+06,2.48007e+06,3.02686e+06,3.06682e+06,3.46219e+06,1.22951e+07,681014,1.34412e+06,1.68842e+06,1.85435e+06,1.8961e+06,2.07202e+06
